,brakeID,qbrk,lbrk,hbrk,wbrk,tbrk,rbrk,qbrk*lbrk*hbrk*wbrk*rbrk (Ordering brakes)
0,B15,0.5,0.104,0.0325,0.016,0.32,0.03,8.11E-07
1,B1,0.4,0.1,0.0425,0.02,0.35,0.025,0.00000085
2,B16,0.5,0.1135,0.04,0.016,0.35,0.025,0.000000908
3,B4,0.5,0.1,0.038,0.016,0.35,0.03,0.000000912
4,B6,0.5,0.104,0.0375,0.016,0.355,0.03,0.000000936
5,B2,0.4,0.14,0.049,0.0175,0.35,0.025,1.20E-06
6,B18,0.52,0.1,0.0425,0.02,0.35,0.028,1.24E-06
7,B7,0.5,0.11,0.052,0.014,0.35,0.032,1.28E-06
8,B5,0.5,0.1,0.0425,0.02,0.355,0.032,0.00000136
9,B8,0.5,0.132,0.042,0.018,0.355,0.028,1.40E-06
10,B23,0.52,0.14,0.042,0.0175,0.35,0.028,1.50E-06
11,B27,0.63,0.1,0.0425,0.02,0.32,0.028,1.50E-06
12,B20,0.52,0.14,0.049,0.0175,0.33,0.025,1.56E-06
13,B32,0.63,0.14,0.042,0.0175,0.35,0.025,1.62E-06
14,B10,0.5,0.132,0.052,0.017,0.355,0.028,1.63E-06
15,B9,0.5,0.132,0.049,0.016,0.32,0.032,1.66E-06
16,B3,0.4,0.14,0.0615,0.0175,0.35,0.028,1.69E-06
17,B11,0.5,0.14,0.049,0.0175,0.35,0.03,1.80E-06
18,B12,0.5,0.14,0.0615,0.0175,0.32,0.028,2.11E-06
19,B13,0.5,0.164,0.049,0.018,0.355,0.03,2.17E-06
20,B19,0.52,0.132,0.049,0.022,0.35,0.03,2.22E-06
21,B29,0.63,0.14,0.049,0.0175,0.355,0.03,2.27E-06
22,B30,0.63,0.14,0.0615,0.0175,0.35,0.025,2.37E-06
23,B21,0.52,0.14,0.0615,0.0175,0.355,0.032,2.51E-06
24,B28,0.63,0.132,0.049,0.025,0.35,0.025,2.55E-06
25,B17,0.5,0.152,0.054,0.025,0.35,0.028,2.87E-06
26,B14,0.5,0.164,0.051,0.025,0.355,0.028,2.93E-06
27,B25,0.52,0.164,0.0645,0.025,0.35,0.025,3.44E-06
28,B31,0.63,0.164,0.051,0.022,0.33,0.03,3.48E-06
29,B22,0.52,0.164,0.051,0.025,0.35,0.032,3.48E-06
30,B26,0.52,0.152,0.054,0.028,0.355,0.032,3.82E-06
31,B34,0.63,0.152,0.054,0.025,0.32,0.03,3.88E-06
32,B24,0.52,0.164,0.0645,0.029,0.355,0.028,4.47E-06
33,B33,0.63,0.164,0.0645,0.025,0.355,0.032,5.33E-06
